Vendor Name,Total Contract Amount
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,5303911
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,5642472
BLYTHE CONSTRUCTION INC,5764680
BOGGS CONTRACTING INC,7731764
