Vendor Name,Total Contract Amount
"K. WEST GROUP, LLC DBA",18059605
"SMITH-ROWE, LLC",18678408
VECELLIO & GROGAN INC,19315000
BLYTHE DEVELOPMENT CO,20732765
BOGGS CONTRACTING INC,27125396
