Vendor Name,Total Contract Amount
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,5742071
BLYTHE CONSTRUCTION INC,6609796
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,6956145
BOGGS CONTRACTING INC,8860472
