Vendor Name,Total Contract Amount
NJR GROUP INC,4042182
EASTERN STRUCTURES LLC,4326752
DELLINGER INC,4831006
BOGGS CONTRACTING INC,4933526
"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",5048203
SLOAN CONSTRUCTION A DIVISION OF REEVES CONSTRUCTION CO,5414524
DANE CONSTRUCTION INC,5418918
BLYTHE DEVELOPMENT CO,5428275
