Vendor Name,Total Contract Amount
APAC ATLANTIC INC DBA HARRISON CONSTRUCTION COMPANY,27988062
MOUNTAIN CREEK CONTRACTORS INC,29157086
CROWDER CONSTRUCTION COMPANY,33550660
