Vendor Name,Total Contract Amount
AMERICAN CONTRACTING & SERVICES INC,6707522
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,7000000
CROWDER CONSTRUCTION COMPANY,7994835
SOUTHERN ROAD & BRIDGE LLC,8346775
MOUNTAIN CREEK CONTRACTORS INC,9973436
