Vendor Name,Total Contract Amount
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,7150000
MOUNTAIN CREEK CONTRACTORS INC,9117325
CROWDER CONSTRUCTION COMPANY,9188988
