Vendor Name,Total Contract Amount
BALFOUR BEATTY INFRASTRUCTURE INC,35978896
BARNHILL CONTRACTING CO,37681519
ZACHRY CONSTRUCTION CORPORATION,41558972
"BMCO CONSTRUCTION, INC.",42086697
CONTI CIVIL LLC,46848442
THALLE CONSTRUCTION CO INC,51865465
