Vendor Name,Total Contract Amount
FREYSSINET INC,6392193
AMERICAN CONTRACTING & SERVICES INC,6779682
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,6870000
MOUNTAIN CREEK CONTRACTORS INC,7083877
BUCKEYE BRIDGE LLC,7187997
"LANFORD BROTHERS CO., INC.",11709628
