Vendor Name,Total Contract Amount
APAC ATLANTIC INC SMITH ROWE LLC JV,87840567
BRANCH CIVIL INC,88185000
BLYTHE CONSTRUCTION INC,88530202
VECELLIO & GROGAN INC,98900000
WEBBER LLC,106543752
