Vendor Name,Total Contract Amount
MOUNTAIN CREEK CONTRACTORS INC,9122439
SOUTHERN ROAD & BRIDGE LLC,9334873
REEVES CONSTRUCTION COMPANY,9793327
CROWDER CONSTRUCTION COMPANY,10053564
AMERICAN CONTRACTING & SERVICES INC,10971770
