Vendor Name,Total Contract Amount
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,5794919
BLYTHE CONSTRUCTION INC,6042984
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,6970645
