Vendor Name,Total Contract Amount
MOUNTAIN CREEK CONTRACTORS INC,13952571
REEVES CONSTRUCTION COMPANY,14643607
SOUTHERN ROAD & BRIDGE LLC,14888211
AMERICAN CONTRACTING & SERVICES INC,14993510
"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",16933300
CROWDER CONSTRUCTION COMPANY,17291326
"SAFFO CONTRACTORS, INC",17999850
