Vendor Name,Total Contract Amount
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,3394860
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,3413377
FSC II LLC DBA FRED SMITH COMPANY,3720847
BLYTHE CONSTRUCTION INC,4287997
