Vendor Name,Total Contract Amount
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,7057484
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,7202206
J T RUSSELL & SONS INC,7254762
BLYTHE CONSTRUCTION INC,7478634
