Vendor Name,Total Contract Amount
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,5067692
BLYTHE CONSTRUCTION INC,5074532
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,5133895
TRUEROCK CONSTRUCTION LLC,5328630
