Vendor Name,Total Contract Amount
BUCKEYE BRIDGE LLC,7590024
AMERICAN CONTRACTING & SERVICES INC,8064462
"LANFORD BROTHERS CO., INC.",8847443
REEVES CONSTRUCTION COMPANY,9176892
NHM CONSTRUCTORS LLC,13103607
