Vendor Name,Total Contract Amount
BLYTHE DEVELOPMENT LLC,249369373
THE LANE CONSTRUCTION CORPORATION,249700000
WEBBER LLC,249780209
FLATIRON CONSTRUCTORS INC,265611433
BALFOUR BEATTY INFRASTRUCTURE INC,270448713
