Vendor Name,Total Contract Amount
WRIGHT BROTHERS CONSTRUCTION COMPANY INC,23232932
NHM CONSTRUCTORS INC,24194391
ZACHRY CONSTRUCTION CORPORATION,24778919
CROWDER CONSTRUCTION COMPANY,25770125
