Vendor Name,Total Contract Amount
NJR GROUP INC,10749727
BLYTHE DEVELOPMENT LLC,10799504
K WEST GROUP LLC DBA KWEST GROUP LLC,10927645
J T RUSSELL & SONS INC,11896949
BLYTHE CONSTRUCTION INC,12818143
ZACHRY CONSTRUCTION CORPORATION,13593448
