Vendor Name,Total Contract Amount
EASTERN STRUCTURES LLC,685019
R E BURNS & SONS CO INC,687413
DELLINGER INC,704970
"SMITH-ROWE, LLC",732533
APPLE TUCK & ASSOCIATES INC,747796
JAMES R VANNOY & SONS CONSTRUCTION COMPANY INC,755160
DANE CONSTRUCTION INC,809667
