Vendor Name,Total Contract Amount
S T WOOTEN CORPORATION,5768025
S & C CONSTRUCTION LLC,6177522
"SMITH-ROWE, LLC",6515197
W C ENGLISH INCORPORATED,7152800
T A LOVING COMPANY,7549775
CONTI CIVIL LLC,7850442
CATON CONSTRUCTION GROUP INC,9052205
