Vendor Name,Total Contract Amount
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC,4099000
AMERICAN CONTRACTING & SERVICES INC,4127434
"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",4962711
