Vendor Name,Total Contract Amount
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,11499384
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,12492999
BLYTHE CONSTRUCTION INC,14243632
