Vendor Name,Total Contract Amount
C M LINDSAY & SONS INC,24595851
"BMCO CONSTRUCTION, INC.",26332262
W C ENGLISH INCORPORATED,27242559
BARNHILL CONTRACTING CO,27377133
BALFOUR BEATTY INFRASTRUCTURE INC,27985820
CONTI CIVIL LLC,30558442
VECELLIO & GROGAN INC,32661336
ZACHRY CONSTRUCTION CORPORATION,33103042
WEBBER LLC,35133706
CATON CONSTRUCTION GROUP INC,38100554
