Vendor Name,Total Contract Amount
BLYTHE CONSTRUCTION INC,13384387
VECELLIO & GROGAN INC DBA SHARPE BROTHERS,13664759
APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,13888608
LYNCHES RIVER CONTRACTING INC,16699996
J T RUSSELL & SONS INC,17567269
