Vendor Name,Total Contract Amount
AMERICAN CONTRACTING & SERVICES INC,4421233
"LANFORD BROTHERS CO., INC.",5260288
SOUTHERN ROAD & BRIDGE LLC,6700825
REEVES CONSTRUCTION COMPANY,7142510
