Vendor Name,Total Contract Amount
THE TRUESDELL CORPORATION,339339
RAM CONSTRUCTION SERVICES OF MICHIGAN INC,443495
APPLIED POLYMERICS INC,493593
"LEE CONSTRUCTION CO OF THE CAROLINAS, IN",718105
SOUTHERN ROAD & BRIDGE LLC,730565
AMERICAN CONTRACTING & SERVICES INC,849695
REEVES CONSTRUCTION COMPANY,851647
"LANFORD BROTHERS CO., INC.",856308
