Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,144640.0,144640.0,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,141799.16,141799.16,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,J T RUSSELL & SONS INC,292500.0,292500.0,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,1766.0,CY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,65.0,114790.0,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,1766.0,CY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,54.64,96494.24,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,1766.0,CY,J T RUSSELL & SONS INC,50.0,88300.0,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,440.0,TON,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,1.0,440.0,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,440.0,TON,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,1.0,440.0,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,440.0,TON,J T RUSSELL & SONS INC,0.01,4.4,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,29.5,SMI,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,2140.0,63130.0,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,29.5,SMI,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,1964.74,57959.83,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,29.5,SMI,J T RUSSELL & SONS INC,1600.0,47200.0,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",171157.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,1.62,277274.34,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",171157.0,SY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,2.18,373122.26,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",171157.0,SY,J T RUSSELL & SONS INC,2.5,427892.5,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(5-1/2"")",700.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,14.6,10220.0,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(5-1/2"")",700.0,SY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,14.26,9982.0,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(5-1/2"")",700.0,SY,J T RUSSELL & SONS INC,12.0,8400.0,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",2738.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,1.8,4928.4,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",2738.0,SY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,2.77,7584.26,FORSYTH,11/15/2022,4924701.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",2738.0,SY,J T RUSSELL & SONS INC,4.25,11636.5,FORSYTH,11/15/2022,5875429.0,36.1200003,-80.1875065
C204799,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",8 SECTIONS OF SECONDARY ROADS.,8,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 2-1/2"")",1470.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,3.2,4704.0,FORSYTH,11/15/2022,4790931.0,36.1200003,-80.1875065
