Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,190126.33,190126.33,DAVIDSON,10/15/2024,7057484.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,150000.0,150000.0,DAVIDSON,10/15/2024,7202206.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,J T RUSSELL & SONS INC,362000.0,362000.0,DAVIDSON,10/15/2024,7254762.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BLYTHE CONSTRUCTION INC,240000.0,240000.0,DAVIDSON,10/15/2024,7478634.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,960.0,TON,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,40.38,38764.8,DAVIDSON,10/15/2024,7057484.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,960.0,TON,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,27.0,25920.0,DAVIDSON,10/15/2024,7202206.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,960.0,TON,J T RUSSELL & SONS INC,50.0,48000.0,DAVIDSON,10/15/2024,7254762.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,960.0,TON,BLYTHE CONSTRUCTION INC,68.0,65280.0,DAVIDSON,10/15/2024,7478634.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,51.17,SMI,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,2478.97,126848.89,DAVIDSON,10/15/2024,7057484.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,51.17,SMI,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,4450.0,227706.5,DAVIDSON,10/15/2024,7202206.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,51.17,SMI,J T RUSSELL & SONS INC,2200.0,112574.0,DAVIDSON,10/15/2024,7254762.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,51.17,SMI,BLYTHE CONSTRUCTION INC,3275.0,167581.75,DAVIDSON,10/15/2024,7478634.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,9874.0,TON,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,36.74,362770.76,DAVIDSON,10/15/2024,7057484.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,9874.0,TON,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,27.0,266598.0,DAVIDSON,10/15/2024,7202206.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,9874.0,TON,J T RUSSELL & SONS INC,30.0,296220.0,DAVIDSON,10/15/2024,7254762.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,9874.0,TON,BLYTHE CONSTRUCTION INC,45.0,444330.0,DAVIDSON,10/15/2024,7478634.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",396357.0,SY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,2.07,820458.99,DAVIDSON,10/15/2024,7057484.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",396357.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,2.14,848203.98,DAVIDSON,10/15/2024,7202206.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",396357.0,SY,J T RUSSELL & SONS INC,2.0,792714.0,DAVIDSON,10/15/2024,7254762.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",396357.0,SY,BLYTHE CONSTRUCTION INC,2.05,812531.85,DAVIDSON,10/15/2024,7478634.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",6,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,39806.0,SY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,6.26,249185.56,DAVIDSON,10/15/2024,7057484.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",6,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,39806.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,6.45,256748.7,DAVIDSON,10/15/2024,7202206.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",6,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,39806.0,SY,J T RUSSELL & SONS INC,6.0,238836.0,DAVIDSON,10/15/2024,7254762.0,35.7748479,-80.1875065
C204986,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-109, AND 7 SECTIONS OF SECONDARY ROADS.",6,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,39806.0,SY,BLYTHE CONSTRUCTION INC,4.45,177136.7,DAVIDSON,10/15/2024,7478634.0,35.7748479,-80.1875065
