Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,1,0000100000-N ,ROADWAY ITEMS,MOBILIZATION, ,1.0,LS  ,FSC II LLC DBA FRED SMITH COMPANY,365000.0,365000.0,Wake,02/15/2022,7391607.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,1,0000100000-N ,ROADWAY ITEMS,MOBILIZATION, ,1.0,LS  ,S T WOOTEN CORPORATION,370000.0,370000.0,Wake,02/15/2022,7442563.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,1,0000100000-N ,ROADWAY ITEMS,MOBILIZATION, ,1.0,LS  ,BLYTHE CONSTRUCTION INC,405000.0,405000.0,Wake,02/15/2022,8319736.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,2,0106000000-E ,ROADWAY ITEMS,BORROW EXCAVATION, ,1695.0,CY  ,FSC II LLC DBA FRED SMITH COMPANY,55.0,93225.0,Wake,02/15/2022,7391607.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,2,0106000000-E ,ROADWAY ITEMS,BORROW EXCAVATION, ,1695.0,CY  ,S T WOOTEN CORPORATION,43.5,73732.5,Wake,02/15/2022,7442563.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,2,0106000000-E ,ROADWAY ITEMS,BORROW EXCAVATION, ,1695.0,CY  ,BLYTHE CONSTRUCTION INC,45.0,76275.0,Wake,02/15/2022,8319736.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,3,0264000000-E ,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING ,43.02,SMI ,FSC II LLC DBA FRED SMITH COMPANY,2600.0,111852.0,Wake,02/15/2022,7391607.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,3,0264000000-E ,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING ,43.02,SMI ,S T WOOTEN CORPORATION,3424.03,147301.77,Wake,02/15/2022,7442563.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,3,0264000000-E ,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING ,43.02,SMI ,BLYTHE CONSTRUCTION INC,3600.0,154872.0,Wake,02/15/2022,8319736.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,4,1220000000-E ,ROADWAY ITEMS,INCIDENTAL STONE BASE, ,1077.0,TON ,FSC II LLC DBA FRED SMITH COMPANY,47.0,50619.0,Wake,02/15/2022,7391607.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,4,1220000000-E ,ROADWAY ITEMS,INCIDENTAL STONE BASE, ,1077.0,TON ,S T WOOTEN CORPORATION,60.0,64620.0,Wake,02/15/2022,7442563.0,35.8031909,-78.5660852
C204698        ,"MILLING, RESURFACING, AND SHOULDER GRADING.",44 SECTIONS OF SECONDARY ROADS. ,4,1220000000-E ,ROADWAY ITEMS,INCIDENTAL STONE BASE, ,1077.0,TON ,BLYTHE CONSTRUCTION INC,55.0,59235.0,Wake,02/15/2022,8319736.0,35.8031909,-78.5660852
