Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,CAROLINA SUNROCK LLC,114082.0,114082.0,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,S T WOOTEN CORPORATION,160000.0,160000.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BLYTHE CONSTRUCTION INC,160000.0,160000.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,FSC II LLC DBA FRED SMITH COMPANY,160000.0,160000.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",2,0156000000-E,ROADWAY ITEMS,REMOVAL OF EXT ASPHALT PVMT,,82.0,SY,CAROLINA SUNROCK LLC,50.0,4100.0,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",2,0156000000-E,ROADWAY ITEMS,REMOVAL OF EXT ASPHALT PVMT,,82.0,SY,S T WOOTEN CORPORATION,50.0,4100.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",2,0156000000-E,ROADWAY ITEMS,REMOVAL OF EXT ASPHALT PVMT,,82.0,SY,BLYTHE CONSTRUCTION INC,100.0,8200.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",2,0156000000-E,ROADWAY ITEMS,REMOVAL OF EXT ASPHALT PVMT,,82.0,SY,FSC II LLC DBA FRED SMITH COMPANY,45.0,3690.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,672.0,TON,CAROLINA SUNROCK LLC,72.0,48384.0,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,672.0,TON,S T WOOTEN CORPORATION,65.0,43680.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,672.0,TON,BLYTHE CONSTRUCTION INC,60.0,40320.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,672.0,TON,FSC II LLC DBA FRED SMITH COMPANY,60.0,40320.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,15.54,SMI,CAROLINA SUNROCK LLC,2465.0,38306.1,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,15.54,SMI,S T WOOTEN CORPORATION,3520.0,54700.8,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,15.54,SMI,BLYTHE CONSTRUCTION INC,3500.0,54390.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,15.54,SMI,FSC II LLC DBA FRED SMITH COMPANY,3000.0,46620.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",5,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1431.0,TON,CAROLINA SUNROCK LLC,22.0,31482.0,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",5,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1431.0,TON,S T WOOTEN CORPORATION,22.5,32197.5,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",5,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1431.0,TON,BLYTHE CONSTRUCTION INC,30.0,42930.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",5,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1431.0,TON,FSC II LLC DBA FRED SMITH COMPANY,30.0,42930.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",71969.0,SY,CAROLINA SUNROCK LLC,2.5,179922.5,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",71969.0,SY,S T WOOTEN CORPORATION,3.5,251891.5,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",71969.0,SY,BLYTHE CONSTRUCTION INC,2.5,179922.5,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",71969.0,SY,FSC II LLC DBA FRED SMITH COMPANY,2.4,172725.6,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",829.0,SY,CAROLINA SUNROCK LLC,5.7,4725.3,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",829.0,SY,S T WOOTEN CORPORATION,5.25,4352.25,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",829.0,SY,BLYTHE CONSTRUCTION INC,5.25,4352.25,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",7,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/2"")",829.0,SY,FSC II LLC DBA FRED SMITH COMPANY,36.5,30258.5,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",8,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/4"")",293.0,SY,CAROLINA SUNROCK LLC,7.5,2197.5,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",8,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/4"")",293.0,SY,S T WOOTEN CORPORATION,5.25,1538.25,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",8,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/4"")",293.0,SY,BLYTHE CONSTRUCTION INC,5.25,1538.25,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",8,1308000000-E,ROADWAY ITEMS,MILLN ASPHALT PVMT ***** - *****,"(0"" TO 1-1/4"")",293.0,SY,FSC II LLC DBA FRED SMITH COMPANY,36.5,10694.5,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",9,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,4572.0,SY,CAROLINA SUNROCK LLC,7.9,36118.8,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",9,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,4572.0,SY,S T WOOTEN CORPORATION,5.25,24003.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",9,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,4572.0,SY,BLYTHE CONSTRUCTION INC,4.75,21717.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",9,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,4572.0,SY,FSC II LLC DBA FRED SMITH COMPANY,14.5,66294.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",10,1519000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5B,,19352.0,TON,CAROLINA SUNROCK LLC,53.9,1043072.8,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",10,1519000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5B,,19352.0,TON,S T WOOTEN CORPORATION,68.5,1325612.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",10,1519000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5B,,19352.0,TON,BLYTHE CONSTRUCTION INC,58.5,1132092.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",10,1519000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5B,,19352.0,TON,FSC II LLC DBA FRED SMITH COMPANY,55.0,1064360.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",11,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1403.0,TON,CAROLINA SUNROCK LLC,550.0,771650.0,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",11,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1403.0,TON,S T WOOTEN CORPORATION,370.0,519110.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",11,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1403.0,TON,BLYTHE CONSTRUCTION INC,585.0,820755.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",11,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1403.0,TON,FSC II LLC DBA FRED SMITH COMPANY,550.0,771650.0,WAKE,03/19/2024,3327655.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",12,1704000000-E,ROADWAY ITEMS,PATCHING EXIST PAVEMENT,,2986.0,TON,CAROLINA SUNROCK LLC,113.0,337418.0,WAKE,03/19/2024,3073373.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",12,1704000000-E,ROADWAY ITEMS,PATCHING EXIST PAVEMENT,,2986.0,TON,S T WOOTEN CORPORATION,115.5,344883.0,WAKE,03/19/2024,3221717.0,35.8031909,-78.5660852
C204926,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF NC-231, AND 44 SECTIONS OF SECONDARY ROADS.",12,1704000000-E,ROADWAY ITEMS,PATCHING EXIST PAVEMENT,,2986.0,TON,BLYTHE CONSTRUCTION INC,100.0,298600.0,WAKE,03/19/2024,3269330.0,35.8031909,-78.5660852
