Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,FSC II LLC DBA FRED SMITH COMPANY,237500.0,237500.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,4298.0,CY,FSC II LLC DBA FRED SMITH COMPANY,25.0,107450.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,395.0,TON,FSC II LLC DBA FRED SMITH COMPANY,75.0,29625.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,4,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,38.19,SMI,FSC II LLC DBA FRED SMITH COMPANY,2750.0,105022.5,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,5,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,2149.0,TON,FSC II LLC DBA FRED SMITH COMPANY,50.0,107450.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,6,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",14056.0,SY,FSC II LLC DBA FRED SMITH COMPANY,1.25,17570.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,7,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,6206.0,SY,FSC II LLC DBA FRED SMITH COMPANY,11.0,68266.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,8,1519000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S9.5B,,22954.0,TON,FSC II LLC DBA FRED SMITH COMPANY,60.0,1377240.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,9,1526000000-E,ROADWAY ITEMS,ASP CONC SURF CRS S4.75A,,2346.0,TON,FSC II LLC DBA FRED SMITH COMPANY,82.75,194131.5,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
C204859,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",21 SECTIONS OF SECONDARY ROADS.,10,1575000000-E,ROADWAY ITEMS,ASP FOR PLANT MIX,,1700.0,TON,FSC II LLC DBA FRED SMITH COMPANY,650.0,1105000.0,"HERTFORD, NORTHAMPTON",03/21/2023,4728765.0,36.39607035,-77.24037179999999
