Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,MOFFAT PIPE INC,500000.0,500000.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,MOFFAT PIPE INC,75000.0,75000.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,3,0043000000-N,ROADWAY ITEMS,GRADING,,1.0,LS,MOFFAT PIPE INC,65000.0,65000.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,MOFFAT PIPE INC,10000.0,10000.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,5,0318000000-E,ROADWAY ITEMS,FND CONDIT MATL MINOR STRS,,230.0,TON,MOFFAT PIPE INC,55.0,12650.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,6,0320000000-E,ROADWAY ITEMS,FND CONDIT GEOTEXTILE,,300.0,SY,MOFFAT PIPE INC,4.0,1200.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,7,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,370.0,TON,MOFFAT PIPE INC,50.0,18500.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,8,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",28000.0,SY,MOFFAT PIPE INC,10.0,280000.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,9,1330000000-E,ROADWAY ITEMS,INCIDENTAL MILLING,,150.0,SY,MOFFAT PIPE INC,65.0,9750.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,10,1491000000-E,ROADWAY ITEMS,ASP CONC BASE CRS B25.0C,,20.0,TON,MOFFAT PIPE INC,245.0,4900.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
C204752,UTILITY CONSTRUCTION AND PAVING.,SR-2055 (N POPLAR ST) FROM ELM ST IN ABERDEEN TO NORTH OF BLUES CROSSING LN IN SOUTHERN PINES.,11,1503000000-E,ROADWAY ITEMS,ASP CONC INTR CRS I19.0C,,10.0,TON,MOFFAT PIPE INC,245.0,2450.0,MOORE,07/19/2022,15564423.0,35.3674493,-79.4703885
