Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,"WHALEY CONSTRUCTION, LLC.",867050.0,867050.0,HAYWOOD,05/28/2024,8416854.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BUCKEYE BRIDGE LLC,449000.0,449000.0,HAYWOOD,05/28/2024,9089608.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,ZACHRY CONSTRUCTION CORPORATION,514480.72,514480.72,HAYWOOD,05/28/2024,10762387.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,DANE CONSTRUCTION LLC,706065.0,706065.0,HAYWOOD,05/28/2024,14121380.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,"WHALEY CONSTRUCTION, LLC.",325525.0,325525.0,HAYWOOD,05/28/2024,8416854.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,BUCKEYE BRIDGE LLC,50000.0,50000.0,HAYWOOD,05/28/2024,9089608.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,ZACHRY CONSTRUCTION CORPORATION,200000.0,200000.0,HAYWOOD,05/28/2024,10762387.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,DANE CONSTRUCTION LLC,115000.0,115000.0,HAYWOOD,05/28/2024,14121380.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,3,0043000000-N,ROADWAY ITEMS,GRADING (226),,1.0,LS,"WHALEY CONSTRUCTION, LLC.",325000.0,325000.0,HAYWOOD,05/28/2024,8416854.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,3,0043000000-N,ROADWAY ITEMS,GRADING (226),,1.0,LS,BUCKEYE BRIDGE LLC,250000.0,250000.0,HAYWOOD,05/28/2024,9089608.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,3,0043000000-N,ROADWAY ITEMS,GRADING (226),,1.0,LS,ZACHRY CONSTRUCTION CORPORATION,414465.37,414465.37,HAYWOOD,05/28/2024,10762387.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,3,0043000000-N,ROADWAY ITEMS,GRADING (226),,1.0,LS,DANE CONSTRUCTION LLC,1750000.0,1750000.0,HAYWOOD,05/28/2024,14121380.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,"WHALEY CONSTRUCTION, LLC.",15000.0,15000.0,HAYWOOD,05/28/2024,8416854.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,BUCKEYE BRIDGE LLC,1.0,1.0,HAYWOOD,05/28/2024,9089608.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,ZACHRY CONSTRUCTION CORPORATION,31000.0,31000.0,HAYWOOD,05/28/2024,10762387.0,35.624394,-82.99316069999999
C204411,"BRIDGE #430175 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD)., GRADING, DRAINAGE, PAVING, AND STRUCTURES.",BRIDGE #430175 AND BRIDGE #430174 OVER BIG CREEK ON SR-1332 (WATERVILLE ROAD).,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,DANE CONSTRUCTION LLC,500.0,500.0,HAYWOOD,05/28/2024,14121380.0,35.624394,-82.99316069999999
