Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,FSC II LLC DBA FRED SMITH COMPANY,265000.0,265000.0,WAKE,09/20/2022,5293245.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,CAROLINA SUNROCK LLC,235646.0,235646.0,WAKE,09/20/2022,5340579.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,S T WOOTEN CORPORATION,295000.0,295000.0,WAKE,09/20/2022,5985825.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BLYTHE CONSTRUCTION INC,275000.0,275000.0,WAKE,09/20/2022,5999026.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,HIGHLAND PAVING CO LLC,300000.0,300000.0,WAKE,09/20/2022,6084830.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,2,0264000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING,20.44,SMI,FSC II LLC DBA FRED SMITH COMPANY,3500.0,71540.0,WAKE,09/20/2022,5293245.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,2,0264000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING,20.44,SMI,CAROLINA SUNROCK LLC,4320.0,88300.8,WAKE,09/20/2022,5340579.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,2,0264000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING,20.44,SMI,S T WOOTEN CORPORATION,5960.0,121822.4,WAKE,09/20/2022,5985825.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,2,0264000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING,20.44,SMI,BLYTHE CONSTRUCTION INC,3500.0,71540.0,WAKE,09/20/2022,5999026.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,2,0264000000-E,ROADWAY ITEMS,GENERIC GRADING ITEM (SMI),SHOULDER GRADING,20.44,SMI,HIGHLAND PAVING CO LLC,4250.0,86870.0,WAKE,09/20/2022,6084830.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,554.0,TON,FSC II LLC DBA FRED SMITH COMPANY,45.0,24930.0,WAKE,09/20/2022,5293245.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,554.0,TON,CAROLINA SUNROCK LLC,69.0,38226.0,WAKE,09/20/2022,5340579.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,554.0,TON,S T WOOTEN CORPORATION,73.0,40442.0,WAKE,09/20/2022,5985825.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,554.0,TON,BLYTHE CONSTRUCTION INC,135.0,74790.0,WAKE,09/20/2022,5999026.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,554.0,TON,HIGHLAND PAVING CO LLC,57.0,31578.0,WAKE,09/20/2022,6084830.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1888.0,TON,FSC II LLC DBA FRED SMITH COMPANY,32.0,60416.0,WAKE,09/20/2022,5293245.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1888.0,TON,CAROLINA SUNROCK LLC,26.5,50032.0,WAKE,09/20/2022,5340579.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1888.0,TON,S T WOOTEN CORPORATION,36.0,67968.0,WAKE,09/20/2022,5985825.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1888.0,TON,BLYTHE CONSTRUCTION INC,50.0,94400.0,WAKE,09/20/2022,5999026.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,1888.0,TON,HIGHLAND PAVING CO LLC,31.0,58528.0,WAKE,09/20/2022,6084830.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",27360.0,SY,FSC II LLC DBA FRED SMITH COMPANY,1.59,43502.4,WAKE,09/20/2022,5293245.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",27360.0,SY,CAROLINA SUNROCK LLC,2.6,71136.0,WAKE,09/20/2022,5340579.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",27360.0,SY,S T WOOTEN CORPORATION,2.3,62928.0,WAKE,09/20/2022,5985825.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",27360.0,SY,BLYTHE CONSTRUCTION INC,2.95,80712.0,WAKE,09/20/2022,5999026.0,35.8031909,-78.5660852
C204777,MILLING AND RESURFACING.,62 SECTIONS OF SECONDARY ROADS.,5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",27360.0,SY,HIGHLAND PAVING CO LLC,3.0,82080.0,WAKE,09/20/2022,6084830.0,35.8031909,-78.5660852
