Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,148204.71,148204.71,"ALAMANCE, GUILFORD",05/28/2024,5067692.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BLYTHE CONSTRUCTION INC,180000.0,180000.0,"ALAMANCE, GUILFORD",05/28/2024,5074532.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,199000.0,199000.0,"ALAMANCE, GUILFORD",05/28/2024,5133895.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,TRUEROCK CONSTRUCTION LLC,204250.0,204250.0,"ALAMANCE, GUILFORD",05/28/2024,5328630.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,156.0,CY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,50.9,7940.4,"ALAMANCE, GUILFORD",05/28/2024,5067692.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,156.0,CY,BLYTHE CONSTRUCTION INC,80.0,12480.0,"ALAMANCE, GUILFORD",05/28/2024,5074532.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,156.0,CY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,32.0,4992.0,"ALAMANCE, GUILFORD",05/28/2024,5133895.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,2,0106000000-E,ROADWAY ITEMS,BORROW EXCAVATION,,156.0,CY,TRUEROCK CONSTRUCTION LLC,300.0,46800.0,"ALAMANCE, GUILFORD",05/28/2024,5328630.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,1338.0,TON,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,25.86,34600.68,"ALAMANCE, GUILFORD",05/28/2024,5067692.0,36.050863050000004,-79.62752595
C204959,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.",29 SECTIONS OF SECONDARY ROADS.,3,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,1338.0,TON,BLYTHE CONSTRUCTION INC,50.0,66900.0,"ALAMANCE, GUILFORD",05/28/2024,5074532.0,36.050863050000004,-79.62752595
