Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,183000.0,183000.0,FORSYTH,10/15/2024,6804756.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,277504.98,277504.98,FORSYTH,10/15/2024,7368259.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,334.0,TON,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,27.0,9018.0,FORSYTH,10/15/2024,6804756.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,334.0,TON,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,42.31,14131.54,FORSYTH,10/15/2024,7368259.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,24.56,SMI,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,4740.0,116414.4,FORSYTH,10/15/2024,6804756.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,24.56,SMI,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,2605.79,63998.2,FORSYTH,10/15/2024,7368259.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,4742.0,TON,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,27.0,128034.0,FORSYTH,10/15/2024,6804756.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,4742.0,TON,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,37.54,178014.68,FORSYTH,10/15/2024,7368259.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",277437.0,SY,APAC ATLANTIC INC THOMPSON ARTHUR DIVISION,1.9,527130.3,FORSYTH,10/15/2024,6804756.0,36.1200003,-80.1875065
C204985,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF OF US-158, AND 5 SECTIONS OF SECONDARY ROADS.",5,1297000000-E,ROADWAY ITEMS,"MILL ASP PVMT *****"" DTH","(1-1/2"")",277437.0,SY,VECELLIO & GROGAN INC DBA SHARPE BROTHERS,2.06,571520.22,FORSYTH,10/15/2024,7368259.0,36.1200003,-80.1875065
